,genre,gross,imdb_score
3,Crime,1.01,4.8
0,Adventure,1.26,7.0
1,Mystery,1.26,7.0
2,Sci-Fi,1.26,7.0
0,Adventure,0.65,5.4
1,Animation,0.65,5.4
2,Comedy,0.65,5.4
3,Family,0.65,5.4
4,Fantasy,0.65,5.4
0,Action,0.93,6.6
1,Drama,0.93,6.6
2,Sci-Fi,0.93,6.6
3,Thriller,0.93,6.6
0,Action,0.58,6.7
1,Adventure,0.58,6.7
2,Sci-Fi,0.58,6.7
3,Thriller,0.58,6.7
0,Action,0.59,6.2
1,Crime,0.59,6.2
2,Sci-Fi,0.59,6.2
3,Thriller,0.59,6.2
0,Action,0.44,6.1
1,Family,0.44,6.1
2,Sport,0.44,6.1
0,Comedy,0.3,5.3
1,Drama,0.3,5.3
2,Romance,0.3,5.3
0,Action,0.76,6.3
1,Comedy,0.76,6.3
2,Romance,0.76,6.3
0,Action,0.89,7.0
1,Adventure,0.89,7.0
2,Mystery,0.89,7.0
3,Sci-Fi,0.89,7.0
0,Action,3.8,7.6
1,Adventure,3.8,7.6
2,Fantasy,3.8,7.6
3,Sci-Fi,3.8,7.6
0,Action,3.11,6.7
1,Adventure,3.11,6.7
2,Fantasy,3.11,6.7
3,Sci-Fi,3.11,6.7
0,Adventure,2.9,8.1
1,Animation,2.9,8.1
2,Comedy,2.9,8.1
3,Family,2.9,8.1
4,Fantasy,2.9,8.1
0,Action,1.33,6.7
1,Adventure,1.33,6.7
2,Sci-Fi,1.33,6.7
3,Thriller,1.33,6.7
0,Action,4.75,6.5
1,Adventure,4.75,6.5
2,Fantasy,4.75,6.5
3,Sci-Fi,4.75,6.5
0,Adventure,1.87,7.3
1,Animation,1.87,7.3
2,Comedy,1.87,7.3
3,Family,1.87,7.3
4,Fantasy,1.87,7.3
0,Action,0.41,6.0
1,Drama,0.41,6.0
2,War,0.41,6.0
0,Action,0.48,6.1
1,Adventure,0.48,6.1
2,Drama,0.48,6.1
3,Fantasy,0.48,6.1
0,Action,1.91,5.9
1,Adventure,1.91,5.9
2,Comedy,1.91,5.9
3,Sci-Fi,1.91,5.9
0,Adventure,2.74,7.8
1,Drama,2.74,7.8
2,Sci-Fi,2.74,7.8
3,Thriller,2.74,7.8
0,Action,0.67,5.8
1,Adventure,0.67,5.8
2,Thriller,0.67,5.8
0,Action,0.82,6.3
1,Adventure,0.82,6.3
2,Comedy,0.82,6.3
3,Sci-Fi,0.82,6.3
0,Action,0.56,4.3
1,Adventure,0.56,4.3
2,Sci-Fi,0.56,4.3
0,Action,2.51,6.4
1,Adventure,2.51,6.4
2,Comedy,2.51,6.4
3,Family,2.51,6.4
4,Fantasy,2.51,6.4
0,Action,1.55,6.1
1,Adventure,1.55,6.1
2,Drama,1.55,6.1
3,Thriller,1.55,6.1
0,Action,1.25,6.5
1,Adventure,1.25,6.5
2,Thriller,1.25,6.5
0,Action,1.13,7.1
1,Drama,1.13,7.1
2,History,1.13,7.1
3,War,1.13,7.1
0,Crime,1.26,6.4
1,Thriller,1.26,6.4
0,Action,1.86,6.5
1,Comedy,1.86,6.5
2,Crime,1.86,6.5
3,Romance,1.86,6.5
4,Thriller,1.86,6.5
0,Adventure,1.3,6.3
1,Sci-Fi,1.3,6.3
2,Thriller,1.3,6.3
0,Biography,1.03,7.5
1,Drama,1.03,7.5
0,Adventure,0.43,4.9
1,Comedy,0.43,4.9
2,Family,0.43,4.9
3,Fantasy,0.43,4.9
0,Action,0.99,5.8
1,Comedy,0.99,5.8
2,Crime,0.99,5.8
3,Sci-Fi,0.99,5.8
4,Thriller,0.99,5.8
0,Action,1.06,6.2
1,Drama,1.06,6.2
2,Fantasy,1.06,6.2
3,War,1.06,6.2
0,Adventure,1.43,5.5
1,Animation,1.43,5.5
2,Comedy,1.43,5.5
3,Family,1.43,5.5
4,Fantasy,1.43,5.5
0,Animation,0.5,5.4
1,Comedy,0.5,5.4
2,Family,0.5,5.4
3,Music,0.5,5.4
4,Western,0.5,5.4
0,Action,0.66,5.8
1,Adventure,0.66,5.8
2,Mystery,0.66,5.8
3,Sci-Fi,0.66,5.8
4,Thriller,0.66,5.8
0,Action,0.85,7.1
1,Drama,0.85,7.1
